时间,气温,风力等级,日出时间,日落时间,天气
2024-01-01 00:00:00,-5,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 01:00:00,-5,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 02:00:00,-6,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 03:00:00,-8,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 04:00:00,-9,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 05:00:00,-9,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 06:00:00,-9,1,2024-01-01 07:25:00,2024-01-01 17:03:00,多云
2024-01-01 07:00:00,-9,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 08:00:00,-7,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 09:00:00,-6,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 10:00:00,-2,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 11:00:00,0,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 12:00:00,2,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 13:00:00,1,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 14:00:00,2,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 15:00:00,3,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 16:00:00,2,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 17:00:00,1,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 18:00:00,0,2,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 19:00:00,-1,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 20:00:00,-1,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 21:00:00,-2,1,2024-01-01 07:25:00,2024-01-01 17:03:00,多云
2024-01-01 22:00:00,-3,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
2024-01-01 23:00:00,-3,1,2024-01-01 07:25:00,2024-01-01 17:03:00,晴
